id,lat,lng,created_at,updated_at,uuid,device_id,address,city,postal_code,country_code,fogged,fogged_lat,fogged_lng,fogged_city,output_lat,output_lng,output_address,output_city,output_postal_code,output_country_code,fogged_country_code,edited
83758,41.206612,-106.791658,2017-01-24 10:11:55 UTC,2017-02-16 11:48:16 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,"100-112 6th St, Encampment, WY 82325, USA",Encampment,82325,US,true,41.45496,-106.80643,Saratoga,41.45496,-106.80643,,Saratoga,,US,US,false
83759,56.6554023473022,35.859375,2017-01-18 14:24:18 UTC,2017-02-16 11:48:02 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,Not yet geocoded,,,RU,true,56.78055,36.115,Emmaus,56.78055,36.115,,Emmaus,,RU,RU,false
83760,18.3113874201885,77.16796875,2017-01-18 14:23:52 UTC,2017-02-16 11:48:02 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,Not yet geocoded,,,IN,true,18.39258,77.11756,Udgīr,18.39258,77.11756,,Udgīr,,IN,IN,false
83761,40.7128193423844,-80.5078125,2017-01-18 13:24:32 UTC,2017-02-16 11:48:02 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,Not yet geocoded,,,US,true,40.67923,-80.49479,Ohioville,40.67923,-80.49479,,Ohioville,,US,US,false
83762,18.3113874201885,42.5390625,2016-12-15 15:57:32 UTC,2017-02-16 11:48:02 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,Not yet geocoded,,,SA,true,18.21639,42.50528,Abha,18.21639,42.50528,,Abha,,SA,SA,false
83763,47.066524,10.5,2016-11-24 13:06:39 UTC,2017-02-16 12:45:13 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,"Ascher Hütte 110, 6553 See, Austria",See,6553,AT,true,47.08333,10.46667,See,47.08333,10.46667,,See,,AT,AT,false
83765,51.517656,-0.105153,2016-11-15 13:40:53 UTC,2017-02-16 12:45:45 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,"48 Farringdon St, London EC4A 3LW, UK",London,EC4A 3LW,GB,true,51.51988,-0.09446,Barbican,51.51988,-0.09446,,Barbican,,GB,GB,false
83767,51.518317,-0.102997,2016-11-15 13:40:51 UTC,2017-02-16 11:48:03 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,Not yet geocoded,,,GB,true,51.51988,-0.09446,Barbican,51.51988,-0.09446,,Barbican,,GB,GB,false
83769,51.519065,-0.101001,2016-11-15 13:40:48 UTC,2017-02-16 11:48:03 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,Not yet geocoded,,,GB,true,51.51988,-0.09446,Barbican,51.51988,-0.09446,,Barbican,,GB,GB,false
83771,51.519993,-0.102214,2016-11-15 13:40:46 UTC,2017-02-16 11:48:04 UTC,8b0c8b6b-ef6e-4bf5-9abb-642d8c7721a2,10,Not yet geocoded,,,GB,true,51.51988,-0.09446,Barbican,51.51988,-0.09446,,Barbican,,GB,GB,false
